site_slug,date,day_active,slot_count
cwmbran,Saturday 10 October 2026,False,0
cwmbran,Sunday 11 October 2026,False,0
derby-gym,Monday 21 September 2026,False,0
derby-gym,Tuesday 22 September 2026,False,0
derby-gym,Wednesday 23 September 2026,True,0
derby-gym,Thursday 24 September 2026,True,0
derby-gym,Friday 25 September 2026,True,0
derby-gym,Saturday 26 September 2026,True,0
derby-gym,Sunday 27 September 2026,True,0
derby-gym,Monday 28 September 2026,True,0
derby-gym,Tuesday 29 September 2026,True,0
derby-gym,Wednesday 30 September 2026,True,1
derby-gym,Thursday 1 October 2026,True,1
derby-gym,Friday 2 October 2026,True,7
derby-gym,Saturday 3 October 2026,True,0
derby-gym,Sunday 4 October 2026,True,0
derby-gym,Monday 5 October 2026,True,1
derby-gym,Tuesday 6 October 2026,True,3
derby-gym,Wednesday 7 October 2026,False,0
derby-gym,Thursday 8 October 2026,False,0
derby-gym,Friday 9 October 2026,False,0
derby-gym,Saturday 10 October 2026,False,0
derby-gym,Sunday 11 October 2026,False,0
derby,Monday 21 September 2026,False,0
derby,Tuesday 22 September 2026,False,0
derby,Wednesday 23 September 2026,True,0
derby,Thursday 24 September 2026,True,0
derby,Friday 25 September 2026,True,0
derby,Saturday 26 September 2026,True,0
derby,Sunday 27 September 2026,True,0
derby,Monday 28 September 2026,True,0
derby,Tuesday 29 September 2026,True,0
derby,Wednesday 30 September 2026,True,0
derby,Thursday 1 October 2026,True,2
derby,Friday 2 October 2026,True,0
derby,Saturday 3 October 2026,True,0
derby,Sunday 4 October 2026,True,0
derby,Monday 5 October 2026,True,7
derby,Tuesday 6 October 2026,True,0
derby,Wednesday 7 October 2026,False,0
derby,Thursday 8 October 2026,False,0
derby,Friday 9 October 2026,False,0
derby,Saturday 10 October 2026,False,0
derby,Sunday 11 October 2026,False,0
devonshire,Monday 21 September 2026,False,0
devonshire,Tuesday 22 September 2026,False,0
devonshire,Wednesday 23 September 2026,True,0
devonshire,Thursday 24 September 2026,True,1
devonshire,Friday 25 September 2026,True,4
devonshire,Saturday 26 September 2026,True,0
devonshire,Sunday 27 September 2026,True,0
